100-51-6|Benzyl alcohol |bird - wild|LD50|oral|100mg/kg (100mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 21, Pg. 315, 1972.
111-76-2|Ethylene glycol mono-n-butyl ether|rabbit|LD50|skin|220mg/kg (220mg/kg)| |Dow Chemical Company Reports.  Vol. MSD-46, 
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LC50|inhalation|450ppm/4H (450ppm)| |Toxicology and Applied Pharmacology.  Vol. 68, Pg. 405, 1983.
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LC50|inhalation|450ppm/4H (450ppm)|BEHAVIORAL: ATAXIA|Toxicology and Applied Pharmacology.  Vol. 68, Pg. 405, 1983.
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LD50|intraperitoneal|220mg/kg (220mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 67, 1982.
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LD50|intravenous|307mg/kg (307mg/kg)| |AMA Archives of Industrial Health.  Vol. 14, Pg. 114, 1956.
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LD50|oral|470mg/kg (470mg/kg)| |Dow Chemical Company Reports.  Vol. MSD-46, 
111-76-2|Ethylene glycol mono-n-butyl ether|rat|LD50|unreported|917mg/kg (917mg/kg)|BEHAVIORAL: EXCITEMENTBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)LUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 41(11), Pg. 7, 1976.
111-76-2|Ethylene glycol mono-n-butyl ether|women|TDLo|oral|7813uL/kg (7.813mL/kg)|BEHAVIORAL: COMAVASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTION|Human Toxicology.  Vol. 8, Pg. 243, 1989.
111-76-2|Ethylene glycol mono-n-butyl ether|women|TDLo|oral|600mg/kg (600mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: COMA|Human Toxicology.  Vol. 7, Pg. 187, 1988.
627-93-0|Hexanedioic acid|rat|LD50|intraperitoneal|1809uL/kg (1.809mL/kg)| |Journal of Pharmaceutical Sciences.  Vol. 62, Pg. 1596, 1973.
112-34-5|Diethylene glycol mono-n-butyl ether|guinea pig|LD50|oral|2gm/kg (2000mg/kg)|BEHAVIORAL: GENERAL ANESTHETICGASTROINTESTINAL: OTHER CHANGESKIDNEY, URETER, AND BLADDER: OTHER CHANGES |Journal of Industrial Hygiene and Toxicology.  Vol. 23, Pg. 259, 1941.
112-34-5|Diethylene glycol mono-n-butyl ether|mouse|LD50|intraperitoneal|850mg/kg (850mg/kg)|KIDNEY, URETER, AND BLADDER: "CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)"LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESBLOOD: CHANGES IN SPLEEN|Federation Proceedings, Federation of American Societies for Experimental Biology. Vol. 6, Pg. 342, 1947.
112-34-5|Diethylene glycol mono-n-butyl ether|mouse|LD50|oral|2400mg/kg (2400mg/kg)| |Journal of the American College of Toxicology.  Vol. 12, Pg. 139, 1993.
112-34-5|Diethylene glycol mono-n-butyl ether|mouse|LD50|unreported|6050mg/kg (6050mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 46(2), Pg. 14, 1981.
112-34-5|Diethylene glycol mono-n-butyl ether|rabbit|LD50|oral|2200mg/kg (2200mg/kg)| |"Patty's Industrial Hygiene and Toxicology," 3rd rev. ed., Clayton, G.D., and F.E. Clayton, eds., New York, John Wiley & Sons, Inc., 1978-82.  Vol. 3 originally pub. in 1979; pub. as 2n rev. ed. in 1985.Vol. 2C, Pg. 3964, 1982.
112-34-5|Diethylene glycol mono-n-butyl ether|rabbit|LD50|skin|2700mg/kg (2700mg/kg)| |Journal of the American College of Toxicology.  Vol. 12, Pg. 139, 1993.
112-34-5|Diethylene glycol mono-n-butyl ether|rat|LD50|oral|5660mg/kg (5660mg/kg)| |Dow Chemical Company Reports.  Vol. MSD-41, 
112-34-5|Diethylene glycol mono-n-butyl ether|rat|LD50|unreported|4500mg/kg (4500mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 46(2), Pg. 14, 1981.
121-54-0|Benzethonium chloride |mouse|LD50|intraperitoneal|7813ug/kg (7.813mg/kg)| |Journal of the American College of Toxicology.  Vol. 4(5), Pg. 65, 1985.
121-54-0|Benzethonium chloride |mouse|LD50|intravenous|30mg/kg (30mg/kg)| |Journal of the American Pharmaceutical Association, Scientific Edition.  Vol. 40, Pg. 267, 1951.
121-54-0|Benzethonium chloride |mouse|LD50|oral|338mg/kg (338mg/kg)| |Proceedings of the Society for Experimental Biology and Medicine.  Vol. 120, Pg. 511, 1965.
121-54-0|Benzethonium chloride |rat|LD50|intraperitoneal|16500ug/kg (16.5mg/kg)|BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDLUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSIONBEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)|Fukuoka Shika Daigaku Gakkai Zasshi.  Journal of Fukuoka Dental College.  Vol. 9, Pg. 729, 1983.
121-54-0|Benzethonium chloride |rat|LD50|intravenous|19mg/kg (19mg/kg)|BLOOD: CHANGES IN CELL COUNT (UNSPECIFIED)BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)KIDNEY, URETER, AND BLADDER: HEMATURIA|Soap and Chemical Specialties.  Vol. 30, Pg. 147, 1954.
121-54-0|Benzethonium chloride |rat|LD50|oral|368mg/kg (368mg/kg)| |Proceedings of the Society for Experimental Biology and Medicine.  Vol. 120, Pg. 511, 1965.
121-54-0|Benzethonium chloride |rat|LD50|subcutaneous|119mg/kg (119mg/kg)| |National Technical Information Service.  Vol. PB195-158, 
121-54-0|Benzethonium chloride |rat|LD50|unreported|420mg/kg (420mg/kg)| |"Merck Index; an Encyclopedia of Chemicals, Drugs, and Biologicals", 11th ed., Rahway, NJ 07065, Merck & Co., Inc. 1989Vol. 11, Pg. 167, 1989.
122-99-6|Phenoxyethanol |mouse|LD50|intraperitoneal|490mg/kg (490mg/kg)|BRAIN AND COVERINGS: OTHER DEGENERATIVE CHANGES|Toksikologicheskii Vestnik.  Vol. (3), Pg. 37, 1996.
122-99-6|Phenoxyethanol |mouse|LD50|oral|933mg/kg (933mg/kg)|BRAIN AND COVERINGS: OTHER DEGENERATIVE CHANGES|Toksikologicheskii Vestnik.  Vol. (3), Pg. 37, 1996.
122-99-6|Phenoxyethanol |rabbit|LD50|skin|5mL/kg (5mL/kg)| |Union Carbide Data Sheet.  Vol. 6/24/1958, 
122-99-6|Phenoxyethanol |rat|LD50|intraperitoneal|554mg/kg (554mg/kg)|BRAIN AND COVERINGS: OTHER DEGENERATIVE CHANGES|Toksikologicheskii Vestnik.  Vol. (3), Pg. 37, 1996.
122-99-6|Phenoxyethanol |rat|LD50|oral|1260mg/kg (1260mg/kg)|BEHAVIORAL: GENERAL ANESTHETICGASTROINTESTINAL: OTHER CHANGESKIDNEY, URETER, AND BLADDER: OTHER CHANGES |Journal of Industrial Hygiene and Toxicology.  Vol. 23, Pg. 259, 1941.
122-99-6|Phenoxyethanol |rat|LD50|skin|14422mg/kg (14422mg/kg)|LUNGS, THORAX, OR RESPIRATION: ACUTE PULMONARY EDEMA|Journal of the American College of Toxicology.  Vol. 9, Pg. 259, 1990.
123-86-4|n-Butyl acetate|cat|LCLo|inhalation|68gm/m3/72M (68000mg/m3)|GASTROINTESTINAL: CHANGES IN STRUCTURE OR FUNCTION OF SALIVARY GLANDSBEHAVIORAL: GENERAL ANESTHETICLUNGS, THORAX, OR RESPIRATION: EMPHYSEMA|Archiv fuer Gewerbepathologie und Gewerbehygiene.  Vol. 5, Pg. 1, 1933.
123-86-4|n-Butyl acetate|guinea pig|LCLo|inhalation|67gm/m3/4H (67000mg/m3)|BEHAVIORAL: ANTIPSYCHOTICSENSE ORGANS AND SPECIAL SENSES: OTHER: EYE|Food and Cosmetics Toxicology.  Vol. 17, Pg. 515, 1979.
123-86-4|n-Butyl acetate|guinea pig|LD50|oral|4700mg/kg (4700mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 28, 1982.
123-86-4|n-Butyl acetate|guinea pig|LDLo|intramuscular|2648mg/kg (2648mg/kg)|BEHAVIORAL: MUSCLE WEAKNESS|Journal of Pharmacology and Experimental Therapeutics.  Vol. 76, Pg. 189, 1942.
123-86-4|n-Butyl acetate|guinea pig|LDLo|intraperitoneal|1500mg/kg (1500mg/kg)| |American Industrial Hygiene Association Journal.  Vol. 35, Pg. 21, 1974.
123-86-4|n-Butyl acetate|guinea pig|LDLo|intraperitoneal|1500mg/kg (1500mg/kg)|LIVER: FATTY LIVER DEGERATION|American Industrial Hygiene Association Journal.  Vol. 35, Pg. 21, 1974.
123-86-4|n-Butyl acetate|human|TCLo|inhalation|200ppm (200ppm)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESSENSE ORGANS AND SPECIAL SENSES: OTHER CHANGES: OLFACTIONSENSE ORGANS AND SPECIAL SENSES: CONJUNCTIVE IRRITATION: EYE|Journal of Industrial Hygiene and Toxicology.  Vol. 25, Pg. 282, 1943.
123-86-4|n-Butyl acetate|mammal (species unspecified)|LC50|inhalation|40gm/m3 (40000mg/m3)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 32(10), Pg. 25, 1988.
123-86-4|n-Butyl acetate|mammal (species unspecified)|LD50|oral|4300mg/kg (4300mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 32(10), Pg. 25, 1988.
123-86-4|n-Butyl acetate|mammal (species unspecified)|LD50|unreported|1592mg/kg (1592mg/kg)| |Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 51(5), Pg. 61, 1986.
123-86-4|n-Butyl acetate|mouse|LC50|inhalation|6gm/m3/2H (6000mg/m3)| |Yakkyoku.  Pharmacy.  Vol. 32, Pg. 1241, 1981.
123-86-4|n-Butyl acetate|mouse|LD50|intraperitoneal|1230mg/kg (1230mg/kg)| |Shell Chemical Company.  Unpublished Report.  Vol. -, Pg. 2, 1961.
123-86-4|n-Butyl acetate|mouse|LD50|oral|6gm/kg (6000mg/kg)| |Gigiena Truda i Professional'nye Zabolevaniya.  Labor Hygiene and Occupational Diseases. Vol. 25(11), Pg. 57, 1981.
123-86-4|n-Butyl acetate|rabbit|LD50|oral|3200mg/kg (3200mg/kg)| |"Toxicometric Parameters of Industrial Toxic Chemicals Under Single Exposure," Izmerov, N.F., et al., Moscow, Centre of International Projects, GKNT, 1982Vol. -, Pg. 28, 1982.
123-86-4|n-Butyl acetate|rabbit|LD50|skin|> 17600mg/kg (17600mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 7, 1974.
123-86-4|n-Butyl acetate|rat|LC50|inhalation|390ppm/4H (390ppm)|LUNGS, THORAX, OR RESPIRATION: ACUTE PULMONARY EDEMABLOOD: HEMORRHAGEBEHAVIORAL: CHANGES IN MOTOR ACTIVITY (SPECIFIC ASSAY)|Inhalation Toxicology.  Vol. 9, Pg. 623, 1997.
123-86-4|n-Butyl acetate|rat|LD50|oral|10768mg/kg (10768mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESLIVER: OTHER CHANGESBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Acute Toxicity Data. Journal of the American College of Toxicology, Part B. Vol. 1, Pg. 196, 1992.
67-63-0|Isopropyl alcohol |cat|LDLo|intravenous|1963mg/kg (1963mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 172, 1955.
67-63-0|Isopropyl alcohol |cat|LDLo|oral|6mL/kg (6mL/kg)| |Archives Internationales de Pharmacodynamie et de Therapie.  Vol. 26, Pg. 285, 1921.
67-63-0|Isopropyl alcohol |dog|LDLo|intravenous|1024mg/kg (1024mg/kg)| |Journal of Laboratory and Clinical Medicine.  Vol. 29, Pg. 561, 1944.
67-63-0|Isopropyl alcohol |dog|LDLo|oral|1537mg/kg (1537mg/kg)|GASTROINTESTINAL: NAUSEA OR VOMITING|Journal of Laboratory and Clinical Medicine.  Vol. 29, Pg. 561, 1944.
67-63-0|Isopropyl alcohol |frog|LDLo|parenteral|20gm/kg (20000mg/kg)|PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGEBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Archives Internationales de Pharmacodynamie et de Therapie.  Vol. 50, Pg. 296, 1935.
67-63-0|Isopropyl alcohol |guinea pig|LD50|intraperitoneal|2560mg/kg (2560mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |hamster|LD50|intraperitoneal|3444mg/kg (3444mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |human|LDLo|oral|3570mg/kg (3570mg/kg)|GASTROINTESTINAL: NAUSEA OR VOMITINGLUNGS, THORAX, OR RESPIRATION: RESPIRATORY DEPRESSIONBEHAVIORAL: COMA|"Toxicology of Drugs and Chemicals," Deichmann, W.B., New York, Academic Press, Inc., 1969Vol. -, Pg. 339, 1969.
67-63-0|Isopropyl alcohol |human|LDLo|unreported|2mL/kg (2mL/kg)| |Japanese Journal of Toxicology. Vol. 12, Pg. 341, 1999.
67-63-0|Isopropyl alcohol |human|TDLo|oral|223mg/kg (223mg/kg)|VASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTIONCARDIAC: PULSE RATE  BEHAVIORAL: "HALLUCINATIONS, DISTORTED PERCEPTIONS"|Journal of Laboratory and Clinical Medicine.  Vol. 12, Pg. 326, 1927.
67-63-0|Isopropyl alcohol |infant|TDLo|oral|13gm/kg (13000mg/kg)|GASTROINTESTINAL: NAUSEA OR VOMITINGBEHAVIORAL: IRRITABILITYBEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|American Journal of Emergency Medicine.  Vol. 10, Pg. 542, 1992.
67-63-0|Isopropyl alcohol |infant|TDLo|unreported|1375mg/kg (1375mg/kg)|SENSE ORGANS AND SPECIAL SENSES: OTHER: EYEBEHAVIORAL: "HALLUCINATIONS, DISTORTED PERCEPTIONS"BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Pediatric Emergency Care.  Vol. 9, Pg. 146, 1993.
67-63-0|Isopropyl alcohol |mammal (species unspecified)|LDLo|subcutaneous|6gm/kg (6000mg/kg)|LUNGS, THORAX, OR RESPIRATION: OTHER CHANGESBEHAVIORAL: GENERAL ANESTHETICPERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE|Archiv fuer Toxikologie.  Vol. 16, Pg. 84, 1956.
67-63-0|Isopropyl alcohol |man|LDLo|oral|5272mg/kg (5272mg/kg)|LUNGS, THORAX, OR RESPIRATION: CHRONIC PULMONARY EDEMABEHAVIORAL: COMAVASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTION|American Journal of Clinical Pathology.  Vol. 38, Pg. 144, 1962.
67-63-0|Isopropyl alcohol |man|LDLo|unreported|2770mg/kg (2770mg/kg)| |"Poisoning; Toxicology, Symptoms, Treatments," 2nd ed., Arena, J.M., Springfield, IL, C.C. Thomas, 1970Vol. 2, Pg. 73, 1970.
67-63-0|Isopropyl alcohol |man|TDLo|oral|14432mg/kg (14432mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: COMAVASCULAR: BP LOWERING NOT CHARACTERIZED IN AUTONOMIC SECTION|New England Journal of Medicine.  Vol. 277, Pg. 699, 1967.
67-63-0|Isopropyl alcohol |mouse|LCLo|inhalation|12800ppm/3H (12800ppm)| |Interagency Collaborative Group on Environmental Carcinogenesis, National Cancer Institute, Memorandum, June 17, 1974Vol. 17JUN1974, 
67-63-0|Isopropyl alcohol |mouse|LD50|intraperitoneal|4477mg/kg (4477mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |mouse|LD50|intravenous|1509mg/kg (1509mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |mouse|LD50|oral|3600mg/kg (3600mg/kg)|BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 43(1), Pg. 8, 1978.
67-63-0|Isopropyl alcohol |mouse|LDLo|subcutaneous|6gm/kg (6000mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 172, 1955.
67-63-0|Isopropyl alcohol |rabbit|LD50|intraperitoneal|667mg/kg (667mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |rabbit|LD50|intravenous|1184mg/kg (1184mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |rabbit|LD50|oral|6410mg/kg (6410mg/kg)| |FAO Nutrition Meetings Report Series.  Vol. 48A, Pg. 114, 1970.
67-63-0|Isopropyl alcohol |rabbit|LD50|skin|12800mg/kg (12800mg/kg)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 100, 1974.
67-63-0|Isopropyl alcohol |rat|LC50|inhalation|16000ppm/8H (16000ppm)| |Raw Material Data Handbook, Vol.1: Organic Solvents, 1974.  Vol. 1, Pg. 100, 1974.
67-63-0|Isopropyl alcohol |rat|LD50|intraperitoneal|2735mg/kg (2735mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |rat|LD50|intravenous|1088mg/kg (1088mg/kg)| |EHP, Environmental Health Perspectives.  Vol. 61, Pg. 321, 1985.
67-63-0|Isopropyl alcohol |rat|LD50|oral|5045mg/kg (5045mg/kg)|BEHAVIORAL: ALTERED SLEEP TIME (INCLUDING CHANGE IN RIGHTING REFLEX)BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 43(1), Pg. 8, 1978.
61791-14-8|PEG-10 Cocamine|rat|LD50|oral|750mg/kg (750mg/kg)| |Food and Cosmetics Toxicology.  Vol. 8, Pg. 249, 1970.
9004-82-4|Sodium dodecylpoly|rat|LD50|oral|1600mg/kg (1600mg/kg)| |Journal of the American College of Toxicology.  Vol. 2(5), Pg. 1, 1983.
6283-63-2|N|guinea pig|LD50|unreported|560mg/kg (560mg/kg)|BEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)BEHAVIORAL: ATAXIABEHAVIORAL: EXCITEMENT|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 51(9), Pg. 71, 1986.
6283-63-2|N|mouse|LD50|unreported|318mg/kg (318mg/kg)|BEHAVIORAL: ATAXIABEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)BEHAVIORAL: EXCITEMENT|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 51(9), Pg. 71, 1986.
6283-63-2|N|mouse|LDLo|oral|300mg/kg (300mg/kg)|BEHAVIORAL: REGIDITYBEHAVIORAL: TREMORBLOOD: METHEMOGLOBINEMIA-CARBOXYHEMOGLOBIN|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 22(5), Pg. 41, 1957.
6283-63-2|N|mouse|LDLo|subcutaneous|80mg/kg (80mg/kg)|BEHAVIORAL: TREMORBEHAVIORAL: REGIDITYBLOOD: METHEMOGLOBINEMIA-CARBOXYHEMOGLOBIN|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 22(5), Pg. 41, 1957.
6283-63-2|N|rat|LD50|unreported|450mg/kg (450mg/kg)|BEHAVIORAL: ATAXIABEHAVIORAL: EXCITEMENTBEHAVIORAL: MUSCLE CONTRACTION OR SPASTICITY)|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 51(9), Pg. 71, 1986.
6283-63-2|N|rat|LDLo|intratracheal|50mg/kg (50mg/kg)|BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: TREMORBEHAVIORAL: REGIDITY|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 22(5), Pg. 41, 1957.
6283-63-2|N|rat|LDLo|oral|100mg/kg (100mg/kg)|BEHAVIORAL: TREMORBEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: REGIDITY|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 22(5), Pg. 41, 1957.
6283-63-2|N|rat|LDLo|subcutaneous|100mg/kg (100mg/kg)|BEHAVIORAL: CONVULSIONS OR EFFECT ON SEIZURE THRESHOLDBEHAVIORAL: REGIDITYBEHAVIORAL: TREMOR|Gigiena i Sanitariya.  For English translation, see HYSAAV.  Vol. 22(5), Pg. 41, 1957.
63148-62-9|Polydimethylsiloxanes|guinea pig|LD|oral|> 10gm/kg (10000mg/kg)| |National Technical Information Service.  Vol. OTS0590148, 
63148-62-9|Polydimethylsiloxanes|mouse|LDLo|intraperitoneal|16mL/kg (16mL/kg)|IMMUNOLOGICAL INCLUDING ALLERGIC: DECREASE IN HUMORAL IMMUNE RESPONSEGASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"IMMUNOLOGICAL INCLUDING ALLERGIC: DECREASE IN CELLULAR IMMUNE RESPONSE|National Technical Information Service.  Vol. OTS0572697, 
63148-62-9|Polydimethylsiloxanes|rabbit|LC|inhalation|> 978gm/m3/7.5 (978000mg/m3)| |National Technical Information Service.  Vol. OTS0590149, 
63148-62-9|Polydimethylsiloxanes|rabbit|LD|skin|> 20mL/kg (20mL/kg)| |Union Carbide Data Sheet.  Vol. 1/14/1972, 
63148-62-9|Polydimethylsiloxanes|rabbit|LD|skin|> 10200mg/kg (10200mg/kg)| |National Technical Information Service.  Vol. OTS0572436, 
63148-62-9|Polydimethylsiloxanes|rabbit|LD50|skin|> 2gm/kg (2000mg/kg)|BEHAVIORAL: FOOD INTAKE (ANIMAL)GASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"SKIN AND APPENDAGES (SKIN): "DERMATITIS, OTHER: AFTER SYSTEMIC EXPOSURE"|National Technical Information Service.  Vol. OTS0537687, 
63148-62-9|Polydimethylsiloxanes|rat|LD|intramuscular|> 1200uL/kg (1.2mL/kg)|IMMUNOLOGICAL INCLUDING ALLERGIC: INCREASE IN HUMORAL IMMUNE RESPONSE|National Technical Information Service.  Vol. OTS0572813, 
63148-62-9|Polydimethylsiloxanes|rat|LD|oral|> 50mL/kg (50mL/kg)| |Union Carbide Data Sheet.  Vol. 1/14/1972, 
63148-62-9|Polydimethylsiloxanes|rat|LD|oral|> 5gm/kg (5000mg/kg)| |National Technical Information Service.  Vol. OTS0572658, 
63148-62-9|Polydimethylsiloxanes|rat|LD50|oral|> 17gm/kg (17000mg/kg)| |National Technical Information Service.  Vol. OTS0537687, 
63148-62-9|Polydimethylsiloxanes|rat|LD50|oral|> 17gm/kg (17000mg/kg)|KIDNEY, URETER, AND BLADDER: OTHER CHANGES |National Technical Information Service.  Vol. OTS0537687, 
63148-62-9|Polydimethylsiloxanes|rat|LD50|oral|> 24gm/kg (24000mg/kg)|GASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"|National Technical Information Service.  Vol. LMF-69, 
6358-69-6|D |mouse|LD50|intravenous|1050mg/kg (1050mg/kg)| |Toxicology and Applied Pharmacology.  Vol. 44, Pg. 225, 1978.
64-02-8|Edetate Sodium |mouse|LD50|intraperitoneal|330mg/kg (330mg/kg)|KIDNEY, URETER, AND BLADDER: "CHANGES IN TUBULES (INCLUDING ACUTE RENAL FAILURE, ACUTE TUBULAR NECROSIS)"|Revue d'Epidemiologie, Medecine Sociale et Sante Publique.  Vol. 10, Pg. 391, 1962.
64-17-5|Alcohol |cat|LDLo|intravenous|3945mg/kg (3945mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 130, 1955.
64-17-5|Alcohol |cat|LDLo|oral|6gm/kg (6000mg/kg)|GASTROINTESTINAL: GASTRITISKIDNEY, URETER, AND BLADDER: INTERSTITIAL NEPHRITISLIVER: "HEPATITIS (HEPATOCELLULAR NECROSIS), DIFFUSE"|Journal of Pharmacology and Experimental Therapeutics.  Vol. 56, Pg. 117, 1936.
64-17-5|Alcohol |chicken|LDLo|intravenous|8216mg/kg (8216mg/kg)|VASCULAR: OTHER CHANGES|Journal of Pharmacology and Experimental Therapeutics.  Vol. 60, Pg. 312, 1937.
64-17-5|Alcohol |chicken|LDLo|subcutaneous|5gm/kg (5000mg/kg)| |"Ueber die Wirkung Verschiedener Gifte Auf Vogel, Dissertation," Forchheimer, L., Pharmakologischen Institut der Universitat Wurzburg, Fed. Rep. Ger., 1931Vol. -, Pg. -, 1931.
64-17-5|Alcohol |child|LDLo|oral|2gm/kg (2000mg/kg)|LIVER: FATTY LIVER DEGERATIONBLOOD: OTHER CHANGESLUNGS, THORAX, OR RESPIRATION: OTHER CHANGES|Archiv fuer Toxikologie.  Vol. 17, Pg. 183, 1958.
64-17-5|Alcohol |child|TDLo|oral|14400mg/kg/30 (14400mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: COMAGASTROINTESTINAL: NAUSEA OR VOMITING|Acta Paediatrica Scandinavica.  Vol. 74, Pg. 977, 1985.
64-17-5|Alcohol |dog|LDLo|intraperitoneal|3gm/kg (3000mg/kg)| |British Journal of Industrial Medicine.  Vol. 1, Pg. 207, 1944.
64-17-5|Alcohol |dog|LDLo|intravenous|1600mg/kg (1600mg/kg)|LUNGS, THORAX, OR RESPIRATION: DYSPNEABEHAVIORAL: ATAXIAGASTROINTESTINAL: "HYPERMOTILITY, DIARRHEA"|Toxicology and Applied Pharmacology.  Vol. 18, Pg. 60, 1971.
64-17-5|Alcohol |dog|LDLo|oral|5500mg/kg (5500mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 130, 1955.
64-17-5|Alcohol |dog|LDLo|subcutaneous|6gm/kg (6000mg/kg)| |"Handbook of Toxicology," 4 vols., Philadelphia, W.B. Saunders Co., 1956-59Vol. 1, Pg. 130, 1955.
64-17-5|Alcohol |frog|LDLo|parenteral|36gm/kg (36000mg/kg)|BEHAVIORAL: SOMNOLENCE (GENERAL DEPRESSED ACTIVITY)PERIPHERAL NERVE AND SENSATION: SPASTIC PARALYSIS WITH OR WITHOUT SENSORY CHANGE|Archives Internationales de Pharmacodynamie et de Therapie.  Vol. 50, Pg. 296, 1935.
